sector,site,stack,ktCO2,xCO2,energy_strategy,latitude,longitude,hub,km_hub,land_transport,sea_transport,ccgt_capacity
cement,Tunstead Cement,Tunstead Cement-cement,654.1254498300001,0.2,Biomass,53.27681872270008,-1.8570587591240366,Hynet,97.21705964287547,truck,,
drax,Drax Power Station,Drax-power,11500.0,0.14,Drax,53.73871,-0.99303,Humberside,75.83135007272924,truck,,
waste,Allerton Park,Allerton Park-waste,265.58,0.12,Waste-HRSG,54.034603,-1.382335,Teeside,67.38618521974306,truck,,
waste,Allington,Allington-waste,458.64,0.12,Waste-HRSG,51.292797,0.494085,London,32.44714930213132,pipeline,ship to Bacton,
waste,Ardley,Ardley-waste,333.2,0.12,Waste-HRSG,51.923004,-1.214435,London,106.12100538992266,truck,ship to Bacton,
waste,Avonmouth,Avonmouth-waste,383.18,0.12,Waste-HRSG,51.532093,-2.669222,Bristol,3.096436531433871,pipeline,ship to Hynet,
waste,Baldovie,Baldovie-waste,184.24,0.12,Waste-HRSG,56.485726,-2.90312,Peterhead,132.65038969501012,truck,,
waste,Beddington Lane,Beddington Lane-waste,324.38,0.12,Waste-HRSG,51.385852,-0.143323,London,25.12682921179084,pipeline,ship to Bacton,
waste,Belfast ACT,Belfast ACT-waste,109.75999999999999,0.12,Waste-HRSG,54.61983,-5.881097,Dublin,147.77014101419846,truck,,
waste,Chineham,Chineham-waste,100.94,0.12,Waste-HRSG,51.292723,-1.036684,London,86.73735002768615,truck,ship to Bacton,
waste,Cornwall,Cornwall-waste,234.22,0.12,Waste-HRSG,50.376888,-4.891549,Pembroke,146.45918905583156,truck,ship to Hynet,
waste,Coventry,Coventry-waste,286.15999999999997,0.12,Waste-HRSG,52.396146,-1.492423,Bristol,128.49775145454478,truck,ship to Hynet,
waste,Devonport,Devonport-waste,251.85999999999999,0.12,Waste-HRSG,50.395227,-4.180192,Pembroke,155.89401570529898,truck,ship to Hynet,
waste,Dunbar,Dunbar-waste,348.88,0.12,Waste-HRSG,55.975055,-2.464255,Teeside,173.51256657624347,truck,,
waste,Eastcroft,Eastcroft-waste,182.28,0.12,Waste-HRSG,52.946399,-1.136157,Humberside,113.2008386841096,truck,,
waste,Edmonton,Edmonton-waste,474.32,0.12,Waste-HRSG,51.613387,-0.039917,London,18.97372207736689,pipeline,ship to Bacton,
