site-stack,ktCO2f_yr_baseline,ktCO2bio_yr_baseline,ktCO2f_yr_captured,ktCO2bio_yr_captured,ktCO2_yr_cumulative,ktCO2f_yr_residual,EUR/tCO2
Leeds-W2E,81.11460000000001,93.32539999999999,77.05887,88.65912999999998,11992.211,4.055730000000003,134.8662210408146
Newhaven-W2E,96.60840000000002,111.15159999999997,91.77797999999999,105.59401999999996,12189.582999999999,4.830420000000005,136.05257814865814
Hanford-W2E,84.30450000000002,96.99549999999999,80.08927500000001,92.145725,12361.818,4.215225000000004,136.18336096606959
Chineham-W2E,46.93710000000001,54.00289999999999,44.590245,51.30275499999999,12457.711,2.346855000000003,138.11998195182858
Baldovie-W2E,85.67160000000001,98.5684,81.38802,93.63997999999998,12632.739,4.283580000000003,139.16830107687866
Wolverhampton-W2E,44.658600000000014,51.38139999999999,42.425670000000004,48.812329999999996,12723.976999999999,2.2329300000000023,139.97624366762085
NewLincs-W2E,25.519200000000005,29.360799999999998,24.24324,27.892759999999992,12776.113,1.275960000000001,142.12744126267734
Hartlebury-W2E,95.69700000000002,110.103,90.91214999999998,104.59784999999997,12971.623,4.784850000000004,143.81070151738243
Javelin Park-W2E,85.67160000000001,98.5684,81.38802,93.63997999999998,13146.651,4.283580000000003,143.9888845249818
Milton Keynes ACT-W2E,36.9117,42.46829999999999,35.066115,40.344885,13222.062,1.8455850000000018,144.09924662685583
Sheffield-W2E,105.26670000000001,121.11329999999998,100.003365,115.05763499999998,13437.123,5.263335000000005,146.32769283509032
Peterborough-W2E,38.734500000000004,44.56549999999999,36.797774999999994,42.33722499999999,13516.258,1.9367250000000018,146.5465542522697
Dudley-W2E,31.443300000000008,36.1767,29.871135000000002,34.367864999999995,13580.497,1.5721650000000018,148.5642166879992
Belfast ACT-W2E,51.03840000000001,58.721599999999995,48.48648,55.785519999999984,13684.769,2.551920000000002,150.08540519838147
Devonport-W2E,117.11490000000002,134.74509999999998,111.259155,128.00784499999997,13924.036,5.855745000000005,151.18273884779353
Cornwall-W2E,108.91230000000002,125.30769999999998,103.46668499999998,119.04231499999996,14146.545,5.4456150000000045,151.928760191673
Baddesley-W2E,43.74720000000001,50.33279999999999,41.55984,47.816159999999996,14235.921,2.1873600000000017,157.16144500458915
Battlefield-W2E,41.924400000000006,48.23559999999999,39.82818,45.82381999999999,14321.573,2.096220000000002,158.37277179236858
Scunthorpe Blast Furnaces-stove,1046.557701918,0.0,994.2298168221001,0.0,15315.8028168221,52.32788509590005,161.5130054259424
Drax-BECCS,0.0,11500.0,0.0,10924.999999999998,26240.8028168221,0.0,166.3366310209113
Exeter-W2E,28.709100000000007,33.030899999999995,27.273645000000002,31.379354999999993,26299.455816822097,1.4354550000000013,169.25673824870182
Levenseat ACT-W2E,26.430600000000005,30.409399999999998,25.10907,28.888929999999995,26353.453816822097,1.3215300000000014,171.79729877709758
South Killingholme-crackers,401.43767110799996,0.0,381.3657875526,0.0,26734.819604374698,20.071883555400017,171.84586372829457
Energy Works ACT-W2E,14.126700000000001,16.253299999999996,13.420365,15.440634999999999,26763.6806043747,0.7063350000000007,172.1955533331276
Hooton Park ACT-W2E,37.3674,42.992599999999996,35.499030000000005,40.842969999999994,26840.0226043747,1.8683700000000016,173.65884319562352
South Killingholme-smr,236.84822595371998,0.0,225.00581465603398,0.0,27065.028419030732,11.842411297686011,174.4725469245314
Eco Park ACT-W2E,14.582400000000002,16.777599999999996,13.85328,15.938719999999996,27094.820419030733,0.7291200000000005,174.82349741466987
Bolton-W2E,36.9117,42.46829999999999,35.066115,40.344885,27170.231419030733,1.8455850000000018,176.1025645184296
Pembroke Power Station-CCGT,5291.35873746,0.0,5026.790800587,0.0,32197.022219617735,264.56793687300024,176.52330006699785
South Killingholme-distillation,341.2220204418,0.0,324.16091941971,0.0,32521.183139037446,17.061101022090014,177.1387927745813
Enfield Power Station-CCGT,848.83069347,0.0,806.3891587964999,0.0,33327.57229783395,42.44153467350004,177.24416081653524
Saltend-CCGT,2294.461504098,0.0,2179.7384288931,0.0,35507.310726727046,114.72307520490008,177.61287938342818
South Killingholme-power,598.1421299509199,0.0,568.235023453374,0.0,36075.54575018042,29.907106497546025,178.25140228186373
Stanlow Refinery-crackers,371.287057392,0.0,352.72270452239997,0.0,36428.26845470282,18.564352869600018,179.01721536056897
Lindsey Oil Refinery-crackers,183.1565852676,0.0,173.99875600422,0.0,36602.26721070704,9.15782926338001,179.37461109204455
South Killingholme-remaining,377.35141084152,0.0,358.48384029944395,0.0,36960.75105100648,18.867570542076013,179.54523060990707
Stanlow Refinery-smr,219.05936386127996,0.0,208.10639566821592,0.0,37168.8574466747,10.952968193064008,181.82614942203034
Tunstead Cement-cement,654.1254498300001,0.0,621.4191773385,0.0,37790.276624013204,32.70627249150003,183.27314024741742
Staythorpe Power Station-CCGT,3574.179279096,0.0,3395.4703151412,0.0,41185.74693915441,178.70896395480017,183.88964090868342
Stanlow Refinery-distillation,315.5939987832,0.0,299.81429884404,0.0,41485.561237998445,15.779699939160013,184.41490579837628
Lindsey Oil Refinery-smr,108.062385307884,0.0,102.6592660424898,0.0,41588.22050404093,5.4031192653942055,184.65292949774957
Stanlow Refinery-power,553.2177155140799,0.0,525.5568297383759,0.0,42113.777333779304,27.660885775704017,185.4331979800247
Lindsey Oil Refinery-power,272.90331204872405,0.0,259.2581464462878,0.0,42373.03548022559,13.645165602436213,185.55462351218594
Lindsey Oil Refinery-distillation,155.68309747746002,0.0,147.89894260358702,0.0,42520.934422829174,7.784154873873008,185.96345036668157
