year,ETS_price,CSU_cost,investment_year,plant,CO2_captured_fossil,CO2_captured_bio,CCS_cost,marginal_plant,csu_diluted_cost,csu_gross_profit,csu_net_profit,ctbo_diluted_cost,ctbo_fossil_profit,ctbo_gross_profit,ctbo_net_profit
2045,97.74999999999999,235.05999999999995,2038.0,Pembroke Refinery-power,675.2197973209334,0.0,119.51342023090388,False,150.43839999999997,235.05999999999995,62.85817976909607,106925.24837608996,158717.16555825857,158717.16555825857,42443.08740365184
2045,97.74999999999999,235.05999999999995,2038.0,Didcot B-CCGT,2663.1465497294994,0.0,119.76398544320244,False,150.43839999999997,235.05999999999995,62.6076145567975,421725.79569139617,625999.227979416,625999.227979416,166733.25269372965
2045,97.74999999999999,235.05999999999995,2038.0,Staythorpe Power Station-CCGT,3395.4703151412,0.0,120.81027207205044,False,150.43839999999997,235.05999999999995,61.56132792794952,537693.8120603556,798139.2522770903,798139.2522770903,209029.66154002553
2045,97.74999999999999,235.05999999999995,2039.0,Pembroke Refinery-remaining,425.97759025615926,0.0,120.81109200693166,False,150.43839999999997,235.05999999999995,61.56050799306831,67456.19696209703,100130.29236561277,100130.29236561277,26223.396849832272
2045,97.74999999999999,235.05999999999995,2039.0,Grangemouth Refinery-remaining,181.8014933119848,0.0,121.54799414698378,False,150.43839999999997,235.05999999999995,60.823605853016176,28789.39554891125,42734.25901791514,42734.25901791514,11057.822372697921
2045,97.74999999999999,235.05999999999995,2039.0,West Burton B CCGT Power Station-CCGT,2228.0422268514,0.0,127.25164983008798,False,150.43839999999997,235.05999999999995,55.11995016991199,352824.3239368017,523723.60584368993,523723.60584368993,122809.5765205089
2045,97.74999999999999,235.05999999999995,2039.0,Exeter-W2E,27.273645,31.379354999999997,127.25728901680056,False,0.0,235.05999999999995,205.55271098319938,0.0,6410.942993699998,13786.974179999996,12056.283157297592
2045,97.74999999999999,235.05999999999995,2039.0,Energy Works ACT-W2E,13.420365,15.440635,128.72925357318425,False,0.0,235.05999999999995,204.08074642681567,0.0,3154.5909968999995,6784.066659999999,5889.974422624327
2045,97.74999999999999,235.05999999999995,2039.0,Levenseat ACT-W2E,25.10907,28.888929999999995,129.6665415923652,False,0.0,235.05999999999995,203.14345840763474,0.0,5902.1379941999985,12692.769879999994,10969.340467095459
2045,97.74999999999999,235.05999999999995,2039.0,Coolkeeragh-CCGT,722.1987379346999,0.0,130.3894668093821,False,150.43839999999997,235.05999999999995,51.982133190617844,114364.65538622689,169760.03533893052,169760.03533893052,37541.43098541768
2045,97.74999999999999,235.05999999999995,2039.0,Eco Park ACT-W2E,13.85328,15.938719999999996,131.4428400820907,False,0.0,235.05999999999995,201.36715991790925,0.0,3256.351996799999,7002.907519999997,5999.130428274351
2045,97.74999999999999,235.05999999999995,2039.0,Hooton Park ACT-W2E,35.499030000000005,40.84297,132.02706469814638,False,0.0,235.05999999999995,200.78293530185357,0.0,8344.4019918,17944.95052,15328.170846814108
2045,97.74999999999999,235.05999999999995,2039.0,Bolton-W2E,35.066115,40.344885,134.45521655124864,False,0.0,235.05999999999995,198.35478344875128,0.0,8242.6409919,17726.109659999995,14958.132574653782
2045,97.74999999999999,235.05999999999995,2039.0,Carrington CCGT-CCGT,1673.6112263625,0.0,140.21828058855806,False,150.43839999999997,235.05999999999995,42.153319411441885,265026.7317010656,393399.0548687692,393399.0548687692,70548.26859543343
2045,97.74999999999999,235.05999999999995,2040.0,Ballylumford-CCGT,1043.2211998752,0.0,140.33218131611855,False,150.43839999999997,235.05999999999995,42.03941868388142,165200.5559529529,245219.57524266446,245219.57524266446,43856.41280145468
2045,97.74999999999999,235.05999999999995,2040.0,Spalding-CCGT,1332.8402058705,0.0,145.21194818907256,False,150.43839999999997,235.05999999999995,37.159651810927414,211063.52423876696,313297.41879191966,313297.41879191966,49527.8779697526
2045,97.74999999999999,235.05999999999995,2040.0,Seabank-CCGT,1626.4197752931002,0.0,145.5427834783055,False,150.43839999999997,235.05999999999995,36.82881652169448,257553.67234047732,382306.23238039605,382306.23238039605,59899.115491525146
2045,97.74999999999999,235.05999999999995,2040.0,Kilroot-CCGT,1059.7392638186998,0.0,147.29201233240934,False,150.43839999999997,235.05999999999995,35.0795876675906,167816.29396427693,249102.31135322351,249102.31135322351,37175.21640991601
2045,97.74999999999999,235.05999999999995,2040.0,Kings Lynn Power Station-CCGT,607.5685909533,0.0,147.7398660323381,False,150.43839999999997,235.05999999999995,34.63173396766183,96212.2596981778,142815.07298948267,142815.07298948267,21041.153809001837
2045,97.74999999999999,235.05999999999995,2040.0,NESS-W2E,42.858585,49.31041499999999,154.58946234995645,False,0.0,235.05999999999995,178.22053765004347,0.0,10074.338990099997,21665.24513999999,16426.408734666853
2045,97.74999999999999,235.05999999999995,2040.0,Damhead Creek Power Station-CCGT,973.8051514482,0.0,155.28963160383336,False,150.43839999999997,235.05999999999995,27.081968396166587,154208.09357434203,228902.63889941384,228902.63889941384,26372.56033554437
2045,97.74999999999999,235.05999999999995,2040.0,Shoreham Power Station-CCGT,584.0626047023999,0.0,155.52219949893512,False,150.43839999999997,235.05999999999995,26.84940050106485,92489.9407908016,137289.7558613461,137289.7558613461,15681.730791349857
2045,97.74999999999999,235.05999999999995,2041.0,Glasgow ACT-W2E,60.60809999999999,69.73189999999998,156.4979996407202,False,0.0,235.05999999999995,176.31200035927975,0.0,14246.539985999994,30637.720399999987,22980.506126828517
2045,97.74999999999999,235.05999999999995,2041.0,South Humber-CCGT,1415.4141864696,0.0,158.5819107576969,False,150.43839999999997,235.05999999999995,23.78968924230304,224139.6268945139,332707.2586715441,332707.2586715441,33672.26364525896
2045,97.74999999999999,235.05999999999995,2041.0,Cottam Development Centre-CCGT,550.2910471575,0.0,159.43576658172347,False,150.43839999999997,235.05999999999995,22.935833418276502,87142.00491441983,129351.41354484191,129351.41354484191,12621.383789173358
2045,97.74999999999999,235.05999999999995,2041.0,Little Barford-CCGT,876.2518953272998,0.0,165.09131637724826,False,150.43839999999997,235.05999999999995,17.28028362275171,138759.92961053312,205971.77051563506,205971.77051563506,15141.881276229486
2045,97.74999999999999,235.05999999999995,2041.0,Grain CCGT-CCGT,1560.6667908717,0.0,169.3631049606187,False,150.43839999999997,235.05999999999995,13.008495039381273,247141.27889670854,366850.3358623017,366850.3358623017,20301.9262071816
2045,97.74999999999999,235.05999999999995,2041.0,Great Yarmouth Power Station-CCGT,566.475305193,0.0,169.4495257940487,False,150.43839999999997,235.05999999999995,12.922074205951276,89704.8826871017,133155.68523866657,133155.68523866657,7320.0359295428425
2045,97.74999999999999,235.05999999999995,2041.0,Langage Energy Centre-CCGT,1099.7517366462,0.0,173.8457564796862,False,150.43839999999997,235.05999999999995,8.525843520313742,174152.51753502703,258507.6432160557,258507.6432160557,9376.31121783879
2045,97.74999999999999,235.05999999999995,2041.0,Connahs Quay Power Station-CCGT,1302.9522420993,0.0,182.6962859152309,False,150.43839999999997,235.05999999999995,-0.3246859152309298,206330.57955561188,306271.9540278614,306271.9540278614,-423.0502412282033
2045,97.74999999999999,235.05999999999995,2041.0,Peterhead Power Station-CCGT,1283.3503468848,0.0,190.87741929539035,False,150.43839999999997,235.05999999999995,-8.505819295390381,203226.49771030972,301664.332538741,301664.332538741,-10915.946143278672
2045,97.74999999999999,235.05999999999995,2042.0,Medway-CCGT,611.8560400155001,0.0,200.59257016807248,False,150.43839999999997,235.05999999999995,-18.22097016807254,96891.20388449241,143822.8807660434,143822.8807660434,-11148.610652277424
2045,97.74999999999999,235.05999999999995,2042.0,Isle of Wight-W2E,4.32915,4.980849999999999,232.11558930806305,False,0.0,235.05999999999995,100.69441069193687,0.0,1017.6099989999998,2188.4085999999993,937.4649635419321
2045,97.74999999999999,235.05999999999995,2042.0,Coryton-CCGT,511.8188888069999,0.0,242.21303231356308,False,150.43839999999997,235.05999999999995,-59.84143231356313,81049.69970726629,120308.14800297336,120308.14800297336,-30627.97539134718
2045,97.74999999999999,235.05999999999995,2042.0,Rye House-CCGT,459.2528183958,0.0,251.0945858781657,False,150.43839999999997,235.05999999999995,-68.72298587816579,72725.53599468917,107951.96749211672,107951.96749211672,-31561.224953122397
