site-stack,ktCO2f_yr_baseline,ktCO2bio_yr_baseline,ktCO2f_yr_captured,ktCO2bio_yr_captured,ktCO2_yr_cumulative,ktCO2f_yr_residual,EUR/tCO2
Beddington Lane-W2E,150.83670000000004,173.54329999999996,143.29486500000002,164.86613499999999,16085.487162272118,7.541835000000007,126.13524224217686
Tunstead Cement-cement,654.1254498300001,0.0,621.4191773385,0.0,16706.906339610618,32.70627249150003,126.33786972216183
Stanlow Refinery-crackers,371.287057392,0.0,352.72270452239997,0.0,17059.629044133017,18.564352869600018,127.04771757392568
Fawley Refinery-smr,372.973237086636,0.0,354.32457523230414,0.0,17413.953619365322,18.648661854331817,127.13759332710472
Padeswood-cement,495.368655552,0.0,470.6002227744,0.0,17884.55384213972,24.768432777600022,127.49564454082719
Newhurst-W2E,135.79860000000002,156.2414,129.00867,148.42932999999996,18161.99184213972,6.789930000000006,128.00933430385223
Great Blakenham-W2E,134.43150000000003,154.6685,127.709925,146.93507499999996,18436.63684213972,6.721575000000005,128.19515041975114
Coventry-W2E,133.06440000000003,153.0956,126.41118,145.44081999999997,18708.48884213972,6.653220000000006,128.38383892323154
South Killingholme-distillation,341.2220204418,0.0,324.16091941971,0.0,19032.64976155943,17.061101022090014,128.72005447555446
Greatmoor-W2E,125.77320000000003,144.7068,119.48454000000001,137.47145999999998,19289.60576155943,6.288660000000007,129.44205052797372
Allerton Park-W2E,123.49470000000001,142.08529999999996,117.31996499999998,134.98103499999996,19541.90676155943,6.174735000000005,129.79204089147538
Ketton-cement,668.926674294,0.0,635.4803405793001,0.0,20177.387102138728,33.44633371470003,129.99316828658442
South Killingholme-power,598.1421299509199,0.0,568.235023453374,0.0,20745.6221255921,29.907106497546025,130.2072872342408
Devonport-W2E,117.11490000000002,134.74509999999998,111.259155,128.00784499999997,20984.8891255921,5.855745000000005,130.8267072904277
Ribblesdale-cement,513.44298105,0.0,487.77083199749995,0.0,21472.6599575896,25.67214905250002,131.23343477424504
Fawley Refinery-distillation,537.3343246163402,0.0,510.4676083855231,0.0,21983.127565975123,26.866716230817026,132.13282581405824
Stanlow Refinery-smr,219.05936386127996,0.0,208.10639566821592,0.0,22191.23396164334,10.952968193064008,132.19124773247313
Cornwall-W2E,108.91230000000002,125.30769999999998,103.46668499999998,119.04231499999996,22413.742961643336,5.4456150000000045,132.29141344286091
Lindsey Oil Refinery-crackers,183.1565852676,0.0,173.99875600422,0.0,22587.741717647557,9.15782926338001,132.49989064908124
South Killingholme-remaining,377.35141084152,0.0,358.48384029944395,0.0,22946.225557947,18.867570542076013,132.83976644497804
Sheffield-W2E,105.26670000000001,121.11329999999998,100.003365,115.05763499999998,23161.286557947,5.263335000000005,132.9982963685561
Fawley Refinery-power,941.9154631509961,0.0,894.8196899934462,0.0,24056.106247940446,47.09577315754984,134.33246334591212
Newhaven-W2E,96.60840000000002,111.15159999999997,91.77797999999999,105.59401999999996,24253.478247940446,4.830420000000005,134.84068196749072
Hartlebury-W2E,95.69700000000002,110.103,90.91214999999998,104.59784999999997,24448.988247940444,4.784850000000004,135.0496412806687
Marchwood-W2E,95.24130000000001,109.57869999999998,90.47923499999999,104.09976499999998,24643.567247940446,4.762065000000004,135.1552945006116
Parc Adfer-W2E,94.32990000000002,108.53009999999999,89.61340500000001,103.103595,24836.284247940446,4.7164950000000045,135.36899865033917
Pembroke Refinery-crackers,477.0185781144001,0.0,453.1676492086801,0.0,25289.451897149127,23.850928905720025,135.7080616049985
Fawley Refinery-remaining,594.2285472227761,0.0,564.5171198616373,0.0,25853.969017010764,29.71142736113883,136.14443018104075
Stanlow Refinery-distillation,315.5939987832,0.0,299.81429884404,0.0,26153.783315854806,15.779699939160013,136.524510538943
Dunbar Works-cement,443.21561914200004,0.0,421.0548381849,0.0,26574.838154039706,22.16078095710002,136.9935787953357
Portsmouth-W2E,86.58300000000001,99.61699999999998,82.25384999999999,94.63614999999996,26751.728154039705,4.329150000000004,137.32662763141605
Baldovie-W2E,85.67160000000001,98.5684,81.38802,93.63997999999998,26926.756154039704,4.283580000000003,137.5751954902557
Javelin Park-W2E,85.67160000000001,98.5684,81.38802,93.63997999999998,27101.784154039702,4.283580000000003,137.5751954902557
Eastcroft-W2E,84.76020000000001,97.51979999999999,80.52219,92.64380999999997,27274.950154039703,4.238010000000004,137.82799559504372
Stanlow Refinery-power,553.2177155140799,0.0,525.5568297383759,0.0,27800.50698377808,27.660885775704017,137.84030042427122
Hanford-W2E,84.30450000000002,96.99549999999999,80.08927500000001,92.145725,27972.74198377808,4.215225000000004,137.95602127650244
Cauldon Cement-cement,537.1638143700001,0.0,510.30562365149996,0.0,28483.04760742958,26.858190718500026,138.4890295422355
Leeds-W2E,81.11460000000001,93.32539999999999,77.05887,88.65912999999998,28648.76560742958,4.055730000000003,138.88407577959023
North Hykeham-W2E,80.65890000000002,92.80109999999999,76.625955,88.16104499999999,28813.55260742958,4.032945000000004,139.0214166711864
Pembroke Refinery-smr,281.440961087496,0.0,267.3689130331212,0.0,29080.921520462703,14.072048054374811,139.8969345417904
Stanlow Refinery-remaining,349.00983394848,0.0,331.55934225105597,0.0,29412.48086271376,17.450491697424017,140.6538965717135
Grangemouth Refinery-crackers,203.58509889360005,0.0,193.40584394892005,0.0,29605.88670666268,10.179254944680011,140.80830287546883
Millerhill-W2E,74.27910000000001,85.4609,70.565145,81.18785499999998,29757.63970666268,3.713955000000003,141.0843042925494
Lindsey Oil Refinery-smr,108.062385307884,0.0,102.6592660424898,0.0,29860.29897270517,5.4031192653942055,142.0035801161073
Lindsey Oil Refinery-power,272.90331204872405,0.0,259.2581464462878,0.0,30119.55711915146,13.645165602436213,142.82175414918152
Lindsey Oil Refinery-distillation,155.68309747746002,0.0,147.89894260358702,0.0,30267.45606175505,7.784154873873008,144.06777531998745
Pembroke Refinery-distillation,405.4657913972401,0.0,385.192501827378,0.0,30652.64856358243,20.273289569862023,144.61955079370057
Glasgow ACT-W2E,63.79800000000001,73.40199999999999,60.60809999999999,69.73189999999998,30782.98856358243,3.1899000000000033,145.1787270304252
Pembroke Refinery-power,710.757681390456,0.0,675.2197973209334,0.0,31458.20836090336,35.53788406952283,146.42975250340288
Kirklees-W2E,60.152400000000014,69.2076,57.14477999999999,65.74721999999997,31581.10036090336,3.0076200000000024,146.87142442093548
Lindsey Oil Refinery-remaining,172.16719015154402,0.0,163.55883064396681,0.0,31744.65919154733,8.60835950757721,148.08803458603433
Pembroke Refinery-remaining,448.3974634275361,0.0,425.97759025615926,0.0,32170.63678180349,22.41987317137682,148.7075557718644
Grangemouth Refinery-smr,120.115208347224,0.0,114.1094479298628,0.0,32284.74622973335,6.005760417361206,149.4535626501611
Grangemouth Refinery-power,303.34179735146404,0.0,288.1747074838908,0.0,32572.92093721724,15.167089867573216,151.28640283246918
Belfast ACT-W2E,51.03840000000001,58.721599999999995,48.48648,55.785519999999984,32677.19293721724,2.551920000000002,151.95834333459402
Grangemouth Refinery-distillation,173.04733405956003,0.0,164.39496735658201,0.0,32841.587904573826,8.65236670297801,152.0037567127551
Pembroke Power Station-CCGT,5291.35873746,0.0,5026.790800587,0.0,37868.37870516082,264.56793687300024,153.5920222571076
Chineham-W2E,46.93710000000001,54.00289999999999,44.590245,51.30275499999999,37964.27170516082,2.346855000000003,154.77630156498333
Grangemouth Refinery-remaining,191.36999295998402,0.0,181.80149331198479,0.0,38146.073198472805,9.568499647999209,156.06935122888513
NESS-W2E,45.11430000000001,51.90569999999999,42.858585,49.31041499999999,38238.242198472806,2.255715000000002,156.16633201599717
Wolverhampton-W2E,44.658600000000014,51.38139999999999,42.425670000000004,48.812329999999996,38329.480198472804,2.2329300000000023,156.52882107155756
Baddesley-W2E,43.74720000000001,50.33279999999999,41.55984,47.816159999999996,38418.8561984728,2.1873600000000017,157.2729945564518
Battlefield-W2E,41.924400000000006,48.23559999999999,39.82818,45.82381999999999,38504.5081984728,2.096220000000002,158.8435514815709
Marchwood  Power  Station-CCGT,1911.319309962,0.0,1815.7533444638998,0.0,40320.2615429367,95.56596549810008,159.63872667782212
Peterborough-W2E,38.734500000000004,44.56549999999999,36.797774999999994,42.33722499999999,40399.3965429367,1.9367250000000018,161.89322846196808
Enfield Power Station-CCGT,848.83069347,0.0,806.3891587964999,0.0,41205.7857017332,42.44153467350004,162.17815225692658
