Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code
EPR,EPR Scotland Ltd,Bioenergy,Bioenergy,No,Biomass,, 12.5 ,LV,Scotland,Scotland,KY50HR,,319000.0,695100.0,2000,BIO-000194
EPR,EPR Ely Ltd,Bioenergy,Bioenergy,No,Biomass,, 38.0 ,LV,England,East of England,CB62QE,,545000.0,279900.0,2001,BIO-000211
EPR,Ovenden Moor,Wind,Onshore,No,Wind,, 18.0 ,LV,England,Yorkshire and the Humber,HX2 7UA,SE0430030900,404300.0,430900.0,1993,WON-000140
EPR,Royd Moor,Wind,Onshore,No,Wind,, 6.5 ,LV,England,Yorkshire and the Humber,S36 7RD,SE2200004000,422000.0,404000.0,1993,WON-000142
EPUKi,Lynemouth Power Limited,Bioenergy,Bioenergy,No,Biomass,, 420.0 ,HV,England,North East,NE639NW,,429850.0,590374.0,2018,BIO-001255
EPUKi,EP SHB LTD,Fossil Fuel,CCGT,No,Natural Gas,," 1,365.0 ",HV,England,Yorkshire and the Humber,DN418BZ,TA228134,520457.0,409164.0,1997,GAS-000169
EPUKi,EP Ballylumford CCGT,Fossil Fuel,CCGT,No,Natural Gas,, 616.0 ,HV,Northern Ireland,Northern Ireland,BT403RS,,156969.0,556595.0,2003,GAS-000239
EPUKi,EP Langage Ltd,Fossil Fuel,CCGT,No,Natural Gas,, 905.0 ,HV,England,South West,PL75AW,,257085.0,56194.0,2010,GAS-000376
EPUKi,EP Ballylumford,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,, 116.0 ,HV,Northern Ireland,Northern Ireland,BT403RS,,156969.0,556595.0,1974,OIL-000116
ESB,Corby Power Station,Fossil Fuel,CCGT,No,Natural Gas,, 407.0 ,HV,England,East Midlands,NN17 5QT,,488447.0,266932.0,1994,GAS-000146
ESB,CoolkeeraghESB C30,Fossil Fuel,CCGT,No,Natural Gas,, 413.0 ,HV,Northern Ireland,Northern Ireland,BT476UL,,64846.0,584768.0,2004,GAS-000248
ESB,Carrington Power,Fossil Fuel,CCGT,No,Natural Gas,, 884.0 ,HV,England,North West,M314AY,,373287.0,393037.0,2016,GAS-000941
ESB,CoolkeeraghESB GT8,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,, 53.0 ,HV,Northern Ireland,Northern Ireland,BT476UL,,64846.0,584768.0,1970,OIL-000109
European Energy A/S,PV@Pendine Solar Farm,Solar,PV,No,Solar,, 4.9 ,LV,Wales,Wales,SA33 4PR,SN2410310103,224103.0,210103.0,2016,SOL-001015
European Energy A/S,Canewdon CIC,Solar,PV,No,Solar,, 5.0 ,LV,England,East of England,SS4 3LW,,586831.0,194705.0,2015,SOL-001384
European Energy A/S,West End Farm PV CIC,Solar,PV,No,Solar,, 4.9 ,LV,England,East Midlands,"	DN22 0EF",TQ8605694401,586056.0,194401.0,2016,SOL-001385
European Energy A/S,High Leas PV,Solar,PV,No,Solar,, 4.9 ,LV,England,East Midlands,LN11 8PJ,TF3962982380,539629.0,382380.0,2015,SOL-001386
European Energy A/S,Canewdon PV,Solar,PV,No,Solar,, 5.0 ,LV,England,East of England,SS4 3LW,,586831.0,194705.0,2015,SOL-001387
European Energy A/S,Woodhouse PV,Solar,PV,No,Solar,, 4.9 ,LV,England,North East,SR5 3NS,NZ5990215917,459902.0,515917.0,2017,SOL-001388
European Energy A/S,West End Farm PV,Solar,PV,No,Solar,, 4.9 ,LV,England,East Midlands,"	DN22 0EF",TQ8605694401,586056.0,194401.0,2016,SOL-001389
European Energy A/S,Bubney,Solar,PV,No,Solar,, 40.4 ,LV,England,East Midlands,SY13 4QH,SJ5134442321,351344.0,342321.0,2023,SOL-001576
European Energy A/S,Parc Cynog,Wind,Onshore,No,Wind,, 3.6 ,LV,Wales,Wales,SA33 4PY,SN2550009500,225500.0,209500.0,2001,WON-000214
European Energy A/S,Pendine Wind Farm Limited,Wind,Onshore,No,Wind,, 4.8 ,LV,Wales,Wales,SA33 4PY,SN2523009760,225230.0,209760.0,2009,WON-000368
Falck Renewables SpA,Cambrian,Wind,Onshore,No,Wind,, 58.5 ,LV,Wales,Wales,SY233LE,,281000.0,280000.0,2005,WON-000271
Falck Renewables SpA,Boyndie,Wind,Onshore,No,Wind,, 16.3 ,LV,Scotland,Scotland,,NJ613641,364000.0,862000.0,2006,WON-000300
Falck Renewables SpA,Earlsburn,Wind,Onshore,No,Wind,, 37.5 ,LV,Scotland,Scotland,,NS697882,269652.0,688422.0,2007,WON-000308
Falck Renewables SpA,Ben Aketil,Wind,Onshore,No,Wind,, 27.6 ,LV,Scotland,Scotland,,NG311485,132500.0,846500.0,2007,WON-000318
Falck Renewables SpA,Kilbraur,Wind,Onshore,No,Wind,, 67.5 ,HV,Scotland,Scotland,,NC788078,278550.0,907550.0,2008,WON-000337
Falck Renewables SpA,Millennium,Wind,Onshore,No,Wind,, 65.0 ,HV,Scotland,Scotland,,NH265106,225679.0,810840.0,2008,WON-000340
Falck Renewables SpA,Nutberry,Wind,Onshore,No,Wind,, 15.0 ,LV,Scotland,Scotland,,NS777322,279021.0,635662.0,2013,WON-000555
Falck Renewables SpA,West Browncastle,Wind,Onshore,No,Wind,, 30.0 ,LV,Scotland,Scotland,,NS619426,261117.0,642821.0,2014,WON-000643
Falck Renewables SpA,Kingsburn,Wind,Onshore,No,Wind,, 22.5 ,LV,Scotland,Scotland,,NS668898,266606.0,686412.0,2016,WON-000952
Falck Renewables SpA,Spaldington,Wind,Onshore,No,Wind,, 11.8 ,LV,England,Yorkshire and the Humber,,SE753329,475377.0,431986.0,2016,WON-000953
Falck Renewables SpA,Assel Valley,Wind,Onshore,No,Wind,, 25.0 ,LV,Scotland,Scotland,,NX211938,223370.0,595995.0,2016,WON-000966
Falck Renewables SpA,Auchrobert,Wind,Onshore,No,Wind,, 38.8 ,LV,Scotland,Scotland,,NS760392,275154.0,638500.0,2017,WON-001166
Foresight Group,Shotwick,Solar,PV,No,Solar,, 72.2 ,LV,Wales,Wales,CH52UA,,332888.0,371036.0,2016,SOL-001032
Foresight Group,Moel Moelogan,Wind,Onshore,No,Wind,, 2.6 ,LV,Wales,Wales,LL26 0NY,SH8461962203,284619.0,362203.0,2003,WON-000247
Foresight Group,Moel Moelogan 2,Wind,Onshore,No,Wind,, 11.7 ,LV,Wales,Wales,LL26 0NY,SH8470061300,284700.0,361300.0,2008,WON-000347
Foresight Group,Frodsham Wind Farm ,Wind,Onshore,No,Wind,, 50.4 ,LV,England,North West,CH24LB,SJ 466 762,348635.0,376504.0,2017,WON-001150
Fred Olsen Renewables,Brockloch Rig 1,Wind,Onshore,No,Wind,, 21.6 ,HV,Scotland,Scotland,KA16 0TU,NS6150002500,261500.0,602500.0,1996,WON-000167
Fred Olsen Renewables,Crystal Rig,Wind,Onshore,No,Wind,, 62.5 ,LV,Scotland,Scotland,EH42 1SH,NT6800067000,368000.0,667000.0,2003,WON-000243
Fred Olsen Renewables,Crystal Rig II,Wind,Onshore,No,Wind,, 138.0 ,HV,Scotland,Scotland,EH42 1SH,NT6700067500,367000.0,667500.0,2010,WON-000246
Fred Olsen Renewables,Rothes,Wind,Onshore,No,Wind,, 50.6 ,LV,Scotland,Scotland,IV36 2RZ,NJ1840055900,318400.0,855900.0,2005,WON-000261
Fred Olsen Renewables,Pauls Hill,Wind,Onshore,No,Wind,, 64.4 ,LV,Scotland,Scotland,IV36 2RZ,NJ1150540495,311505.0,840495.0,2006,WON-000279
Fred Olsen Renewables,Rothes II,Wind,Onshore,No,Wind,, 41.4 ,LV,Scotland,Scotland,IV36 2RZ,NJ1850050500,318500.0,850500.0,2013,WON-000541
Fred Olsen Renewables,Mid Hill,Wind,Onshore,No,Wind,, 75.9 ,LV,Scotland,Scotland,AB39 3TE,NO7054086500,370540.0,786500.0,2014,WON-000556
Fred Olsen Renewables,Crystal Rig III,Wind,Onshore,No,Wind,, 13.8 ,HV,Scotland,Scotland,EH42 1SH,NT6856272486,368562.0,672486.0,2016,WON-000974
Fred Olsen Renewables,Brockloch Rig ,Wind,Onshore,No,Wind,, 61.5 ,HV,Scotland,Scotland,KA16 0TU,NX6516096516,265160.0,596516.0,2017,WON-001175
Greencoat Capital,Llancayo,Solar,PV,No,Solar,, 5.0 ,LV,Wales,Wales,NP151HY,,336790.0,203067.0,2011,SOL-000440
Greencoat Capital,Manor Farm,Solar,PV,No,Solar,, 4.9 ,LV,England,South East,P0229NR,,355189.0,130227.0,2011,SOL-000445
Greencoat Capital,Springhill,Solar,PV,No,Solar,, 4.9 ,LV,England,South West,WR127LB,,413653.0,235615.0,2011,SOL-000446
Greencoat Capital,Islip,Solar,PV,No,Solar,, 5.0 ,LV,England,East Midlands,NN143LT,,497983.0,279596.0,2013,SOL-000479
Greencoat Capital,Grange Farm,Solar,PV,No,Solar,, 5.8 ,LV,England,South West,TA210BU,,229006.0,92956.0,2013,SOL-000571
Greencoat Capital,Limberlost,Solar,PV,No,Solar,, 1.6 ,LV,England,South East,RG198BR,,453510.0,164953.0,2013,SOL-000576
Greencoat Capital,Redbridge,Solar,PV,No,Solar,, 6.5 ,LV,England,South West,DT28DY,,377194.0,88984.0,2014,SOL-000607
Greencoat Capital,Bicester,Solar,PV,No,Solar,, 18.4 ,LV,England,South East,OX252ND,,459052.0,218811.0,2013,SOL-000622
Greencoat Capital,Wrangle,Solar,PV,No,Solar,, 10.8 ,LV,England,East Midlands,PE220PZ,,538495.0,348945.0,2014,SOL-000678
Greencoat Capital,Stonebarrow,Solar,PV,No,Solar,, 7.5 ,LV,England,South West,EX135UL,,334899.0,98840.0,2014,SOL-000702
Greencoat Capital,Stowbridge,Solar,PV,No,Solar,, 24.3 ,LV,England,East of England,CB63LF,,551252.0,272416.0,2014,SOL-000703
Greencoat Capital,Westover,Solar,PV,No,Solar,, 7.0 ,LV,England,South East,SP117SE,,434623.0,140438.0,2014,SOL-000706
Greencoat Capital,Stables,Solar,PV,No,Solar,, 2.0 ,LV,England,East Midlands,CV136EB,,440233.0,297103.0,2014,SOL-000728
Greencoat Capital,Grange Farm,Solar,PV,No,Solar,, 21.1 ,LV,England,South West,BS361RR,,363968.0,182366.0,2014,SOL-000734
Greencoat Capital,Winnards,Solar,PV,No,Solar,, 4.5 ,LV,England,South West,TR96DG,,192864.0,66586.0,2015,SOL-000767
Greencoat Capital,Bluegates,Solar,PV,No,Solar,, 10.7 ,LV,England,East of England,CO78DE,,607018.0,222279.0,2015,SOL-000771
Greencoat Capital,Rowles,Solar,PV,No,Solar,, 12.8 ,LV,England,South East,OX253QQ,,453433.0,216448.0,2015,SOL-000777
Greencoat Capital,Flit,Solar,PV,No,Solar,, 10.5 ,LV,England,South East,OX51PH,SP4877412010,448774.0,212010.0,2015,SOL-000780
Greencoat Capital,Christchurch,Solar,PV,No,Solar,, 17.9 ,LV,England,South West,BH237AA,,417714.0,95129.0,2015,SOL-000785
Greencoat Capital,Egmanton,Solar,PV,No,Solar,, 14.1 ,LV,England,East Midlands,NG220HH,,474907.0,368832.0,2015,SOL-000786
Greencoat Capital,Aston Clinton,Solar,PV,No,Solar,, 24.2 ,LV,England,South East,HP225DY,,484594.0,215796.0,2015,SOL-000790
Greencoat Capital,Dunkeswell,Solar,PV,No,Solar,, 2.8 ,LV,England,South West,,"EX144RD	",313746.0,107938.0,2015,SOL-000792
Greencoat Capital,Homestead,Solar,PV,No,Solar,, 17.7 ,LV,England,East Midlands,NN127LS,,473845.0,244756.0,2015,SOL-000794
Greencoat Capital,Hunciecroft,Solar,PV,No,Solar,, 7.6 ,LV,England,East Midlands,S803ND,,454513.0,373909.0,2015,SOL-000795
Greencoat Capital,New Kaine,Solar,PV,No,Solar,, 1.9 ,LV,England,South East,ME97HP,,584858.0,166460.0,2015,SOL-000797
Greencoat Capital,New Stone House,Solar,PV,No,Solar,, 11.5 ,LV,England,South East,OX252PT,,455811.0,219330.0,2015,SOL-000798
Greencoat Capital,Chapel Hill,Solar,PV,No,Solar,, 10.1 ,LV,Wales,Wales,SA715HY,,196092.0,197842.0,2015,SOL-000821
Greencoat Capital,Saron,Solar,PV,No,Solar,, 6.3 ,LV,Wales,Wales,SA183TW,,260904.0,212664.0,2015,SOL-000824
Greencoat Capital,Hendai,Solar,PV,No,Solar,, 13.4 ,LV,Wales,Wales,"CF82 8FU	 ","CF828FU	",312392.0,197842.0,2015,SOL-000829
Greencoat Capital,Weston Longville,Solar,PV,No,Solar,, 7.6 ,LV,England,East of England,"NR9 5JF	 	 ","NR95JF		",610220.0,315069.0,2015,SOL-000832
Greencoat Capital,Gaultney,Solar,PV,No,Solar,, 21.6 ,LV,England,East Midlands,NN142SW,SP8117783964,481177.0,283964.0,2015,SOL-000833
Greencoat Capital,Garvinack,Solar,PV,No,Solar,, 9.6 ,LV,England,South West,TR49EP,,177775.0,47586.0,2015,SOL-000834
Greencoat Capital,Coombe,Solar,PV,No,Solar,, 7.3 ,LV,England,South West,EX85AZ,,301187.0,84681.0,2015,SOL-000835
Greencoat Capital,Isle of Wight,Solar,PV,No,Solar,, 6.2 ,LV,England,South East,PO334RW,,452614.0,90511.0,2015,SOL-000836
Greencoat Capital,Place Farm,Solar,PV,No,Solar,, 6.8 ,LV,England,South East,TN262LX,,597181.0,132855.0,2015,SOL-000838
